"Exp_ID","UniqueStockID","TrtID_Final","RunBy","till","first.year","initial.SOC","location_name","Can_SOC30","initial.SOC.impute","POLYID","init_active_frac","init_slow_frac","init_passive_frac","mean_c_input"
"E7","E7_Field 1T8","SWI_E7_T8_NT_CR5 + SWI_E7_T8_RT_CR5","stock","RT",1987,50.89001125,"Swift Current, Saskatchewan",46.8,50.89001125,825005,18.8426451805854,26.6869251658174,5.36044090359719,1.72134636605114
"E7","E7_Field 1T9 + E7_Field 2T9 + E7_Field 3T9 + E7_Field 4T9","SWI_E7_T9_NT_CR6","treatment","NT",1996,NA,"Swift Current, Saskatchewan",46.8,46.8,825005,25.4819264987256,17.8238604804258,3.4942130208486,2.33808212747223
"E7","E7_Field 1T1 + E7_Field 2T1 + E7_Field 3T1","SWI_E7_T1_RT_CR1","treatment","RT",1987,56.7503745833333,"Swift Current, Saskatchewan",46.8,56.7503745833333,825005,21.0125159313865,29.7601231054458,5.97773554650103,1.28477384765653
"E7","E7_Field 1T2 + E7_Field 2T2 + E7_Field 3T2","SWI_E7_T2_NT_CR2","treatment","NT",1996,16.1964,"Swift Current, Saskatchewan",46.8,16.1964,825005,8.93325042377741,6.04827020070705,1.21487937551554,1.50795835733062
"E7","E7_Field 1T6","SWI_NT_CR1","treatment","NT",1982,NA,"Swift Current, Saskatchewan",46.8,46.8,825005,26.1254073421032,15.6649538858496,5.00963877204718,1.71337748843528
"E7","E7_Field 1T3 + E7_Field 2T3 + E7_Field 3T3","SWI_E7_T3_NT_CR3","treatment","NT",1996,46.96561667,"Swift Current, Saskatchewan",46.8,46.96561667,825005,25.9042512546149,17.5385110125084,3.52285440287667,0.669237227504613
"E7","E7_Field 1T3 + E7_Field 2T3 + E7_Field 3T3","SWI_E7_T3_RT_CR3","treatment","RT",1987,56.1576347155,"Swift Current, Saskatchewan",46.8,56.1576347155,825005,20.7930467911833,29.4492879512157,5.91529997310103,1.27107075114811
"E7","E7_Field 1T4 + E7_Field 2T4 + E7_Field 3T4","SWI_E7_T4_NT_CR1","treatment","NT",1996,47.3324,"Swift Current, Saskatchewan",46.8,47.3324,825005,26.1065534537553,17.6754800108633,3.55036653538142,1.71854570296625
"E7","E7_Field 1T4 + E7_Field 2T4 + E7_Field 3T4","SWI_E7_T4_RT_CR1","treatment","RT",1987,54.8028810431667,"Swift Current, Saskatchewan",46.8,54.8028810431667,825005,20.291432778377,28.7388497142488,5.77259855054094,1.5792081101128
"E70","E70_CT_CR45","IND_CT_CR45","treatment","FT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.6179438142355,35.2724239082106,6.20963227755391,1.27432323245597
"E70","E70_CT_CR20","IND_CT_CR20","treatment","FT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.2865352137019,35.6592073501241,6.15425743617402,1.6122239693928
"E70","E70_NT_CR19","IND_NT_CR19","treatment","NT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,33.939364174828,23.094840240122,4.06579558504995,1.68143411127003
"E70","E70_NT_CR45","IND_NT_CR45","treatment","NT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,33.939364174828,23.094840240122,4.06579558504995,1.27432323245597
"E70","E70_NT_CR20","IND_NT_CR20","treatment","NT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,33.5617624439344,23.4850598506371,4.0531777054285,1.6122239693928
"E70","E70_CT_CR19","IND_CT_CR19","treatment","FT",1986,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.6179438142355,35.2724239082106,6.20963227755391,1.68143411127003
"E71","E71_CT","MEL_CT","treatment","FT",1970,NA,"Melfort, Saskatchewan",79.7,79.7,705002,26.526487560801,45.2137344167518,7.95977802244711,1.13399713748029
"E71","E71_NT","MEL_NT","treatment","NT",1970,NA,"Melfort, Saskatchewan",79.7,79.7,705002,44.2711509776398,30.1253480709939,5.3035009513663,1.13399713748029
"E73","E73_CT","STA_CT_CR43","treatment","FT",1998,NA,"Star City, Saskatchewan",82.4,82.4,705006,25.9596121248966,45.9713951776571,10.4689926974462,2.47898457328384
"E73","E73_NT","STA_NT_CR43","treatment","NT",1998,NA,"Star City, Saskatchewan",82.4,82.4,705006,48.015095600925,28.006930635803,6.37797376327198,2.53988795231842
"E74","E74_CT","CHA_CT_CR38","treatment","FT",1989,NA,"Charlottetown, Prince Edward Island",45.8,45.8,536013,11.964327939479,26.3967058741213,7.43896618639971,1.75460595022024
"E74","E74_NT","CHA_NT_CR38","treatment","NT",1989,NA,"Charlottetown, Prince Edward Island",45.8,45.8,536013,23.7120915259272,17.2317553593063,4.85615311476658,1.78080601430857
"E75","E75_NT","LAC_NT_CR8","treatment","NT",1992,NA,"L'Acadie, Quebec",85.1,85.1,541041,43.4801747313753,35.5271961396357,6.09262912898895,2.89990626339828
"E8","E8_Field 1T2 + E8_Field 2T2 + E8_Field 3T2 + E8_Field 4T2 + E8_Field 5T2 + E8_Field 6T2","SCO_E8_T2_CT_CR2","treatment","FT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.6699814343002,30.7183011311697,6.31171743453004,1.55302119174439
"E8","E8_Field 1T3 + E8_Field 2T3 + E8_Field 3T3 + E8_Field 4T3 + E8_Field 5T3 + E8_Field 6T3","SCO_E8_T3_CT_CR3","treatment","FT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.3315662589766,31.1325420768512,6.23589166417226,1.84116279009436
"E8","E8_Field 1T7 + E8_Field 2T7 + E8_Field 3T7 + E8_Field 4T7 + E8_Field 5T7 + E8_Field 6T7","SCO_E8_T7_CT_CR5","treatment","FT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.6699814343002,30.7183011311697,6.31171743453004,1.06721346483771
"E8","E8_Field 1T8 + E8_Field 2T8 + E8_Field 3T8 + E8_Field 4T8 + E8_Field 5T8 + E8_Field 6T8","SCO_E8_T8_CT_CR6","treatment","FT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.6699814343002,30.7183011311697,6.31171743453004,1.01316136438
"E8","E8_Field 1T4 + E8_Field 2T4 + E8_Field 3T4 + E8_Field 4T4 + E8_Field 5T4 + E8_Field 6T4","SCO_E8_T4_NT_CR4","treatment","NT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,31.010473164153,18.8221271515351,3.86739968431195,1.49436392716624
"E8","E8_Field 1T5 + E8_Field 2T5 + E8_Field 3T5 + E8_Field 4T5 + E8_Field 5T5 + E8_Field 6T5","SCO_E8_T5_NT_CR3","treatment","NT",1995,NA,"Scott, Saskatchewan",53.7,53.7,767001,30.6216765566715,19.2271070455341,3.85121639779442,1.84437841134419
