"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_108","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",90.2,32.8556144016974,46.8026009640077,10.5417846342949
"E4_109","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",94.2,34.3126261268281,48.8781043326999,11.009269540472
"E4_110","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",91.8,33.4384190917497,47.6328023114846,10.7287785967657
"E4_111","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",85,30.9614991590275,44.104446584708,9.93405425626458
"E4_112","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",89.7,32.673487936056,46.5431630429212,10.4833490210227
"E4_113","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.35,30.360481822411,43.2483014451224,9.7412167324665
"E4_115","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",81.6,29.0193247420094,43.1770734952423,9.40360176274834
"E4_116","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.6,32.2728097116451,45.9723996165309,10.354790671824
"E4_117","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.6,29.3587862613837,41.8213928791466,9.41982085946971
"E4_118","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",90.6,33.0013155742104,47.010151300877,10.5885331249126
"E4_119","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.5,38.901007592124,57.0358044716833,12.5631879361927
"E4_122","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.95,34.9500687565728,49.7861370565027,11.2137941869245
"E4_123","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.05,34.986494049701,49.83802464072,11.225481309579
"E4_125","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85,33.8208846695965,48.1776219457663,10.8514933846373
"E4_126","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.65,30.8152510894009,45.8491840485631,9.98556486203608
"E4_127","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85,33.8208846695965,48.1776219457663,10.8514933846373
"E4_128","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.9,37.84587956027,53.9112000017783,12.1429204379516
"E4_129","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.05,31.3439647368743,44.6492662189896,10.0567690441361
