"site","TrtID","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E15_CT_CR1","E15_CT_CR1",754010,1993,0.16,2.07929830110055,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1994,0.16,1.83588336933045,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1995,0.16,1.91787917787582,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1996,0.16,1.99901445421403,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1987,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1988,0.16,0.781313718411552,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1989,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1990,0.16,1.83588336933045,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1991,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1992,0.16,1.99901445421403,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1993,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1994,0.16,1.83588336933045,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1995,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR2","E15_CT_CR2",754010,1996,0.16,1.99901445421403,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1987,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1988,0.16,0.781313718411552,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1989,0.16,1.41266849917537,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1990,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1991,0.16,2.07929830110055,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1992,0.16,1.99901445421403,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1993,0.16,0.25,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1994,0.16,1.83588336933045,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1995,0.16,1.91787917787582,0.053,0.007,"FT",0
"E15_CT_CR4","E15_CT_CR4",754010,1996,0.16,0.25,0.053,0.007,"FT",0
"E15_NT_CR1","E15_NT_CR1",754010,1987,0.16,1.6692730911464,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1988,0.16,0.781313718411552,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1989,0.16,1.41266849917537,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1990,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1991,0.16,2.07929830110055,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1992,0.16,1.99901445421403,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1993,0.16,2.07929830110055,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1994,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1995,0.16,1.91787917787582,0.053,0.007,"NT",0
"E15_NT_CR1","E15_NT_CR1",754010,1996,0.16,1.99901445421403,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1987,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1988,0.16,0.781313718411552,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1989,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1990,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1991,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1992,0.16,1.99901445421403,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1993,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1994,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1995,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR2","E15_NT_CR2",754010,1996,0.16,1.99901445421403,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1987,0.16,1.6692730911464,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1988,0.16,0.781313718411552,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1989,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1990,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1991,0.16,2.07929830110055,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1992,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1993,0.16,2.07929830110055,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1994,0.16,1.83588336933045,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1995,0.16,0.25,0.053,0.007,"NT",0
"E15_NT_CR4","E15_NT_CR4",754010,1996,0.16,1.99901445421403,0.053,0.007,"NT",0
"E16_CT","E16_CT_CR5",568002,1988,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_CT","E16_CT_CR5",568002,1989,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_CT","E16_CT_CR5",568002,1990,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_CT","E16_CT_CR5",568002,1991,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_CT","E16_CT_CR5",568002,1992,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_CT","E16_CT_CR5",568002,1993,0.85,4.76131273332251,0.11,0.0063,"FT",0
"E16_NT","E16_NT_CR5",568002,1988,0.85,4.67163371144116,0.11,0.0063,"NT",0
"E16_NT","E16_NT_CR5",568002,1989,0.85,4.67163371144116,0.11,0.0063,"NT",0
