"site","experiment","year","input_type","modelled_SOC"
"E61_NT","E61",2004,"0-30",71.2
"E62_CT","E62",2004,"0-30",66.2
"E62_NT","E62",2004,"0-30",66.2
"E63_CT_CR39","E63",2003,"0-15",45.8
"E63_CT_CR40","E63",2003,"0-15",45.8
"E63_CT_CR41","E63",2003,"0-15",45.8
"E63_CT_CR42","E63",2003,"0-15",45.8
"E63_NT_CR39","E63",2003,"0-15",49.6
"E63_NT_CR40","E63",2003,"0-15",49.6
"E63_NT_CR41","E63",2003,"0-15",49.6
"E63_NT_CR42","E63",2003,"0-15",49.6
"E64_CT","E64",2001,"0-15",82.8
"E64_NT","E64",2001,"0-15",82
"E65_CT","E65",2010,"0-30",88.5
"E65_NT","E65",2010,"0-30",96.2
"E66_CT","E66",2008,"0-30",67.4
"E66_NT","E66",2008,"0-30",71
"E67_CT_CR1","E67",1993,"0-15",45.8
"E67_CT_CR2","E67",1993,"0-15",45.8
"E67_NT_CR1","E67",1993,"0-15",47.8
"E67_NT_CR2","E67",1993,"0-15",47.8
"E68_CT_CR2","E68",1992,"0-15",44.15
"E68_NT_CR2","E68",1992,"0-15",46.65
"E69_CT_CR32","E69",1994,"0-15",52.2
"E69_CT_CR33","E69",1994,"0-15",52.2
"E69_CT_CR34","E69",1994,"0-15",52.2
"E69_NT_CR32","E69",1994,"0-15",56.6
"E69_NT_CR33","E69",1994,"0-15",56.6
"E69_NT_CR34","E69",1994,"0-15",56.6
"E6_Field 1.10_CT_T17_CR12","E6",1976,"c(""0-15"", ""15-30"")",54.54
"E6_Field 1.10_CT_T18_CR11","E6",1981,"c(""0-15"", ""15-30"")",45.894
"E6_Field 1.11_CT_T19_CR13","E6",1976,"c(""0-15"", ""15-30"")",45.20475
"E6_Field 1.12_CT_T20_CR10","E6",1976,"c(""0-15"", ""15-30"")",47.07
"E6_Field 1.1_CT_T1_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.1165
"E6_Field 1.2_CT_T2_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.97866667
"E6_Field 1.3_CT_T3_CR2","E6",1976,"c(""0-15"", ""15-30"")",47.48233333
"E6_Field 1.4_CT_T4_CR3","E6",1976,"c(""0-15"", ""15-30"")",52.011
"E6_Field 1.4_CT_T5_CR4","E6",1984,"c(""0-15"", ""15-30"")",52.2261
"E6_Field 1.4_CT_T6_CR5","E6",1993,"c(""0-15"", ""15-30"")",54.85126667
"E6_Field 1.5_CT_T7_CR1","E6",1976,"c(""0-15"", ""15-30"")",47.09866667
"E6_Field 1.6_CT_T10_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",70.672
"E6_Field 1.6_CT_T8_CR6","E6",1976,"c(""0-15"", ""15-30"")",50.79733333
"E6_Field 1.6_CT_T9_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.3239
"E6_Field 1.7_CT_T11_CR9","E6",1976,"c(""0-15"", ""15-30"")",54.31633333
"E6_Field 1.7_CT_T12_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.52226667
"E6_Field 1.7_CT_T13_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",72.50611111
"E6_Field 1.8_CT_T14_CR10","E6",1976,"c(""0-15"", ""15-30"")",55.9545
"E6_Field 1.9_CT_T15_CR10","E6",1976,"c(""0-15"", ""15-30"")",56.28
"E6_Field 1.9_CT_T16_CR11","E6",1981,"c(""0-15"", ""15-30"")",57.042
"E6_Field 2.11_CT_T19_CR13","E6",1976,"c(""0-15"", ""15-30"")",45.20475
"E6_Field 2.1_CT_T1_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.1165
"E6_Field 2.2_CT_T2_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.97866667
"E6_Field 2.3_CT_T3_CR2","E6",1976,"c(""0-15"", ""15-30"")",47.48233333
"E6_Field 2.4_CT_T4_CR3","E6",1976,"c(""0-15"", ""15-30"")",52.011
"E6_Field 2.4_CT_T5_CR4","E6",1984,"c(""0-15"", ""15-30"")",52.2261
"E6_Field 2.4_CT_T6_CR5","E6",1993,"c(""0-15"", ""15-30"")",54.85126667
"E6_Field 2.5_CT_T7_CR1","E6",1976,"c(""0-15"", ""15-30"")",47.09866667
"E6_Field 2.6_CT_T10_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",70.672
"E6_Field 2.6_CT_T8_CR6","E6",1976,"c(""0-15"", ""15-30"")",50.79733333
"E6_Field 2.6_CT_T9_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.3239
"E6_Field 2.7_CT_T11_CR9","E6",1976,"c(""0-15"", ""15-30"")",54.31633333
"E6_Field 2.7_CT_T12_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.52226667
"E6_Field 2.7_CT_T13_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",72.50611111
"E6_Field 3.1_CT_T1_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.1165
"E6_Field 3.2_CT_T2_CR1","E6",1976,"c(""0-15"", ""15-30"")",49.97866667
"E6_Field 3.3_CT_T3_CR2","E6",1976,"c(""0-15"", ""15-30"")",47.48233333
"E6_Field 3.4_CT_T4_CR3","E6",1976,"c(""0-15"", ""15-30"")",52.011
"E6_Field 3.4_CT_T5_CR4","E6",1984,"c(""0-15"", ""15-30"")",52.2261
"E6_Field 3.4_CT_T6_CR5","E6",1993,"c(""0-15"", ""15-30"")",54.85126667
"E6_Field 3.5_CT_T7_CR1","E6",1976,"c(""0-15"", ""15-30"")",47.09866667
"E6_Field 3.6_CT_T10_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",70.672
"E6_Field 3.6_CT_T8_CR6","E6",1976,"c(""0-15"", ""15-30"")",50.79733333
"E6_Field 3.6_CT_T9_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.3239
"E6_Field 3.7_CT_T11_CR9","E6",1976,"c(""0-15"", ""15-30"")",54.31633333
"E6_Field 3.7_CT_T12_CR7","E6",1990,"c(""0-15"", ""15-30"")",51.52226667
"E6_Field 3.7_CT_T13_CR8","E6",2009,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",72.50611111
"E70_CT_CR19","E70",1993,"0-15",59.05
"E70_CT_CR20","E70",1993,"0-15",59.05
"E70_CT_CR45","E70",1993,"0-15",59.05
"E70_NT_CR19","E70",1993,"0-15",63.15
"E70_NT_CR20","E70",1993,"0-15",63.15
"E70_NT_CR45","E70",1993,"0-15",63.15
"E71_CT","E71",1994,"0-15",77.2
"E71_NT","E71",1994,"0-15",84.3
