"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_326","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.7,NA,NA,NA
"E4_327","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.7,NA,NA,NA
"E4_328","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.05,NA,NA,NA
"E4_329","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.05,NA,NA,NA
"E4_401","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.6,NA,NA,NA
"E4_403","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.2,NA,NA,NA
"E4_405","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",90.5,NA,NA,NA
"E4_406","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.9,NA,NA,NA
"E4_407","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",88.9,NA,NA,NA
"E4_408","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84,NA,NA,NA
"E4_409","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",92.5,NA,NA,NA
"E4_410","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",93.1,NA,NA,NA
"E4_411","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",74.75,NA,NA,NA
"E4_412","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",87,NA,NA,NA
"E4_413","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84.7,NA,NA,NA
"E4_415","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.2,NA,NA,NA
"E4_416","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",76.2,NA,NA,NA
"E4_418","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86,NA,NA,NA
"E4_419","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84.7,NA,NA,NA
"E4_420","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",86.9,NA,NA,NA
"E4_422","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.35,NA,NA,NA
"E4_423","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",104.5,NA,NA,NA
"E4_425","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",107.5,NA,NA,NA
"E4_426","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.35,NA,NA,NA
"E4_427","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",87.55,NA,NA,NA
"E4_428","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86,NA,NA,NA
"E4_429","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.95,NA,NA,NA
"E40_CT","560003",19,"E40",1987,"0-30",21.9,NA,NA,NA
"E40_NT","560003",19,"E40",1987,"0-30",22.1,NA,NA,NA
"E41_CT_CR19","754010",4,"E41",1989,"0-15",59.15,NA,NA,NA
"E41_CT_CR20","754010",4,"E41",1989,"0-15",59.15,NA,NA,NA
"E41_CT_CR21","754010",4,"E41",1989,"0-15",59.15,NA,NA,NA
"E41_NT_CR19","754010",4,"E41",1989,"0-15",63.05,NA,NA,NA
"E41_NT_CR20","754010",4,"E41",1989,"0-15",63.05,NA,NA,NA
"E41_NT_CR21","754010",4,"E41",1989,"0-15",63.05,NA,NA,NA
"E42_CT","823006",12,"E42",2011,"0-15",19,NA,NA,NA
"E42_NT","823006",12,"E42",2011,"0-15",25.8,NA,NA,NA
"E43_CT","793011",47,"E43",2014,"0-15",90.65,NA,NA,NA
"E43_NT","793011",47,"E43",2014,"0-15",92.35,NA,NA,NA
"E44_CT","702009",5,"E44",2004,"0-15",77.45,NA,NA,NA
"E44_NT","702009",5,"E44",2004,"0-15",86.35,NA,NA,NA
"E45_CT","705006",5,"E45",2004,"0-15",80.2,NA,NA,NA
"E45_NT","705006",5,"E45",2004,"0-15",84.6,NA,NA,NA
"E46_CT","692009",19,"E46",1998,"0-15",84.45,NA,NA,NA
"E46_NT","692009",19,"E46",1998,"0-15",88.35,NA,NA,NA
"E47_CT","692009",27,"E47",2006,"0-15",84.6,NA,NA,NA
"E47_NT","692009",27,"E47",2006,"0-15",88.2,NA,NA,NA
"E48_CT","727006",19,"E48",1998,"0-15",130.9,NA,NA,NA
"E48_NT","727006",19,"E48",1998,"0-15",132.9,NA,NA,NA
"E49_CT","727006",27,"E49",2006,"0-15",131.4,NA,NA,NA
"E49_NT","727006",27,"E49",2006,"0-15",132.4,NA,NA,NA
"E5_Field 1.1_RT_N0P0_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,NA,NA,NA
"E5_Field 1.1_RT_N0P20_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,NA,NA,NA
"E5_Field 1.1_RT_N45P0_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,NA,NA,NA
"E5_Field 1.1_RT_N45P20_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,NA,NA,NA
"E5_Field 1.2_RT_N0P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 1.2_RT_N0P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 1.2_RT_N45P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 1.2_RT_N45P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 1.3_RT_N0P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 1.3_RT_N0P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 1.3_RT_N0P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 1.3_RT_N0P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 1.3_RT_N45P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 1.3_RT_N45P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 1.3_RT_N45P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 1.3_RT_N45P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 2.2_RT_N0P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 2.2_RT_N0P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 2.2_RT_N45P0_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 2.2_RT_N45P20_CR2","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",55.90657,NA,NA,NA
"E5_Field 2.3_RT_N0P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 2.3_RT_N0P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 2.3_RT_N0P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 2.3_RT_N0P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 2.3_RT_N45P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 2.3_RT_N45P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 2.3_RT_N45P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 2.3_RT_N45P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
