"site","experiment","TrtID","year","input_type","modelled_SOC"
"E4_127","E4","E4_7_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85
"E4_128","E4","E4_12_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.9
"E4_129","E4","E4_16_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.05
"E4_201","E4","E4_26_RT_CR5",1954,"c(""0-15"", ""15-30"")",94.8
"E4_201","E4","E4_26_RT_CR5",1967,"c(""0-15"", ""15-30"")",87.4
"E4_201","E4","E4_26_NT_CR5",1974,"c(""0-15"", ""15-30"")",87.5
"E4_201","E4","E4_26_RT_CR5",1985,"c(""0-15"", ""15-30"")",86.1
"E4_201","E4","E4_26_NT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.2
"E4_202","E4","E4_9_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1
"E4_203","E4","E4_29_RT_CR10",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2
"E4_204","E4","E4_24_RT_CR5",1954,"c(""0-15"", ""15-30"")",95
"E4_204","E4","E4_24_RT_CR5",1967,"c(""0-15"", ""15-30"")",87
"E4_204","E4","E4_24_RT_CR5",1974,"c(""0-15"", ""15-30"")",88.9
"E4_204","E4","E4_24_RT_CR5",1985,"c(""0-15"", ""15-30"")",85.4
"E4_204","E4","E4_24_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",84.9
"E4_205","E4","E4_8_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.2
"E4_206","E4","E4_23_RT_CR5",1954,"c(""0-15"", ""15-30"")",98.1
"E4_206","E4","E4_23_RT_CR5",1967,"c(""0-15"", ""15-30"")",93
"E4_206","E4","E4_23_RT_CR5",1974,"c(""0-15"", ""15-30"")",85.4
"E4_206","E4","E4_23_RT_CR5",1985,"c(""0-15"", ""15-30"")",87.1
"E4_206","E4","E4_23_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.3
"E4_207","E4","E4_3_RT_CR2",1954,"c(""0-15"", ""15-30"")",97.1
"E4_207","E4","E4_3_RT_CR2",1967,"c(""0-15"", ""15-30"")",83.8
"E4_207","E4","E4_3_RT_CR2",1974,"c(""0-15"", ""15-30"")",75.5
"E4_207","E4","E4_3_RT_CR2",1985,"c(""0-15"", ""15-30"")",67
"E4_207","E4","E4_3_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.75
"E4_208","E4","E4_6_RT_CR3",1954,"c(""0-15"", ""15-30"")",95.8
"E4_208","E4","E4_6_RT_CR3",1967,"c(""0-15"", ""15-30"")",88.6
"E4_208","E4","E4_6_RT_CR3",1974,"c(""0-15"", ""15-30"")",82.8
"E4_208","E4","E4_6_RT_CR3",1985,"c(""0-15"", ""15-30"")",70.9
"E4_208","E4","E4_6_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",84.15
"E4_209","E4","E4_12_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.2
"E4_210","E4","E4_20_RT_CR3",1954,"c(""0-15"", ""15-30"")",100.3
"E4_210","E4","E4_20_RT_CR3",1967,"c(""0-15"", ""15-30"")",91.7
"E4_210","E4","E4_20_RT_CR3",1974,"c(""0-15"", ""15-30"")",87.6
"E4_210","E4","E4_20_RT_CR3",1985,"c(""0-15"", ""15-30"")",83.5
"E4_210","E4","E4_20_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",98.55
"E4_211","E4","E4_17_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.15
"E4_212","E4","E4_22_NT_CR5",1954,"c(""0-15"", ""15-30"")",91.7
"E4_212","E4","E4_22_RT_CR5",1967,"c(""0-15"", ""15-30"")",92.3
"E4_212","E4","E4_22_RT_CR5",1974,"c(""0-15"", ""15-30"")",92.5
"E4_212","E4","E4_22_RT_CR5",1985,"c(""0-15"", ""15-30"")",96.4
"E4_212","E4","E4_22_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.1
"E4_213","E4","E4_5_RT_CR3",1954,"c(""0-15"", ""15-30"")",96.2
"E4_213","E4","E4_5_RT_CR3",1967,"c(""0-15"", ""15-30"")",87.3
"E4_213","E4","E4_5_RT_CR3",1974,"c(""0-15"", ""15-30"")",84.5
"E4_213","E4","E4_5_RT_CR3",1985,"c(""0-15"", ""15-30"")",69.7
"E4_213","E4","E4_5_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.1
"E4_214","E4","E4_7_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2
"E4_215","E4","E4_19_RT_CR3",1954,"c(""0-15"", ""15-30"")",101
"E4_215","E4","E4_19_RT_CR3",1967,"c(""0-15"", ""15-30"")",97.1
"E4_215","E4","E4_19_RT_CR3",1974,"c(""0-15"", ""15-30"")",85.2
"E4_215","E4","E4_19_RT_CR3",1985,"c(""0-15"", ""15-30"")",79.9
"E4_215","E4","E4_19_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.8
"E4_216","E4","E4_25_RT_CR5",1954,"c(""0-15"", ""15-30"")",103
"E4_216","E4","E4_25_RT_CR5",1967,"c(""0-15"", ""15-30"")",98.4
"E4_216","E4","E4_25_RT_CR5",1974,"c(""0-15"", ""15-30"")",81.2
"E4_216","E4","E4_25_RT_CR5",1985,"c(""0-15"", ""15-30"")",89.5
"E4_216","E4","E4_25_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.1
"E4_217","E4","E4_27_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.35
"E4_218","E4","E4_2_RT_CR2",1954,"c(""0-15"", ""15-30"")",93.2
"E4_218","E4","E4_2_RT_CR2",1967,"c(""0-15"", ""15-30"")",81.8
"E4_218","E4","E4_2_RT_CR2",1974,"c(""0-15"", ""15-30"")",67.7
"E4_218","E4","E4_2_RT_CR2",1985,"c(""0-15"", ""15-30"")",73
"E4_218","E4","E4_2_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.3
"E4_219","E4","E4_1_RT_CR12",1954,"c(""0-15"", ""15-30"")",95.6
"E4_219","E4","E4_1_RT_CR12",1967,"c(""0-15"", ""15-30"")",94.2
"E4_219","E4","E4_1_RT_CR12",1974,"c(""0-15"", ""15-30"")",83.7
"E4_219","E4","E4_1_RT_CR12",1985,"c(""0-15"", ""15-30"")",80.8
"E4_219","E4","E4_1_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.7
"E4_220","E4","E4_16_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.05
"E4_221","E4","E4_21_RT_CR5",1954,"c(""0-15"", ""15-30"")",100.5
"E4_221","E4","E4_21_NT_CR5",1967,"c(""0-15"", ""15-30"")",93.9
"E4_221","E4","E4_21_RT_CR5",1974,"c(""0-15"", ""15-30"")",87.8
"E4_221","E4","E4_21_NT_CR5",1985,"c(""0-15"", ""15-30"")",86.9
"E4_221","E4","E4_21_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",93.2
"E4_222","E4","E4_14_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.8
"E4_223","E4","E4_4_RT_CR3",1954,"c(""0-15"", ""15-30"")",95.4
"E4_223","E4","E4_4_RT_CR3",1967,"c(""0-15"", ""15-30"")",85
